Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.9,0.71,0.18
moral,0.79,0.75,0.43,0.08
verw,0.89,0.77,0.45,0.01
sparkont,0.72,0.72,0.34,0.07
beszeit,0.94,0.93,0.77,0.2
rate,0.93,0.93,0.76,0.35
famges,0.77,0.74,0.46,0.07
buerge,0.28,0.36,0.12,0.04
wohnzeit,0.94,0.94,0.8,0.32
verm,0.98,0.98,0.92,0.52
weitkred,0.45,0.5,0.21,0.04
wohn,0.69,0.74,0.42,0.18
bishkred,0.65,0.58,0.32,0.01
beruf,0.72,0.69,0.39,0.02
pers,0.54,0.64,0.37,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.17,0.26,0.09,0.05
kredit,0.79,0.85,0.66,0.37
