Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.75
moral,0.8,0.76,0.45,0.09
verw,0.9,0.78,0.46,0.02
sparkont,0.99,0.99,0.98,0.71
beszeit,0.94,0.92,0.75,0.19
rate,0.91,0.91,0.71,0.29
famges,0.99,0.99,0.96,0.62
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.91,0.91,0.73,0.3
verm,1.0,1.0,0.99,0.83
weitkred,0.48,0.52,0.24,0.04
wohn,0.99,0.99,0.98,0.78
bishkred,0.67,0.59,0.33,0.01
beruf,0.75,0.71,0.43,0.02
pers,0.55,0.65,0.38,0.2
telef,0.97,0.98,0.93,0.69
gastarb,0.99,0.99,0.98,0.8
kredit,0.83,0.87,0.7,0.41
