36, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,10, Ireland, >50K
58, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, England, <=50K
52, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, >50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Trinadad&Tobago, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,54, El-Salvador, >50K
31, Private, Masters, Never-married, Other-service, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Dominican-Republic, <=50K
44, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, >50K
42, Private, 7th-8th, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, Scotland, <=50K
48, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Ireland, >50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,12, Mexico, >50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Canada, <=50K
59, Self-emp-inc, Some-college, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,38, Philippines, <=50K
26, Private, HS-grad, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, China, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,43, Yugoslavia, >50K
37, Private, HS-grad, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Jamaica, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,20, Yugoslavia, <=50K
37, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Ecuador, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
