28, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Jamaica, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, France, <=50K
29, Private, HS-grad, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, England, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Sales, Not-in-family, Black, Female,4460,0,40, England, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,38, El-Salvador, <=50K
61, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Ecuador, <=50K
44, Local-gov, HS-grad, Separated, Farming-fishing, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
24, Private, 9th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Jamaica, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,35, Canada, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
25, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Female,0,0,38, Vietnam, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,40, Yugoslavia, <=50K
20, Private, Assoc-acdm, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
43, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
36, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,35, El-Salvador, >50K
24, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,10, Mexico, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,45, England, >50K
34, Private, HS-grad, Divorced, Protective-serv, Unmarried, Other, Male,0,0,40, Ecuador, <=50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,50, Greece, <=50K
54, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, Black, Female,0,0,99, Canada, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
26, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,25, Yugoslavia, <=50K
46, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,61, United-States, <=50K
57, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,54, Thailand, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, England, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,40, Haiti, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,60, Honduras, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,70, El-Salvador, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
