25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
24, Private, HS-grad, Divorced, Sales, Own-child, Other, Male,0,0,40, Iran, <=50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, England, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,80, El-Salvador, >50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, El-Salvador, <=50K
62, Local-gov, Masters, Divorced, Farming-fishing, Unmarried, Other, Female,0,0,60, Ecuador, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
71, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
61, Federal-gov, HS-grad, Widowed, Other-service, Not-in-family, Black, Female,0,0,30, Scotland, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,25, Mexico, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,10, Canada, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
61, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,38, Vietnam, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4386,0,40, China, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Male,0,0,35, Yugoslavia, <=50K
41, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, >50K
49, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
25, Federal-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,40, Ecuador, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,60, El-Salvador, >50K
22, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Female,0,0,60, Dominican-Republic, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,54, Germany, <=50K
39, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,60, Cambodia, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1974,40, Canada, >50K
40, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,48, Yugoslavia, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Thailand, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Puerto-Rico, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
38, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,7298,0,35, Greece, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
34, State-gov, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,3453,0,95, Ecuador, <=50K
63, Private, HS-grad, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Nicaragua, >50K
