34, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
46, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Germany, <=50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, England, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,50, United-States, <=50K
23, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,15024,0,60, El-Salvador, >50K
32, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,54, Yugoslavia, <=50K
49, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
22, Local-gov, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,25, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Japan, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
29, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,7687,0,45, Canada, >50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, Other, Female,0,0,40, Taiwan, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Female,0,0,18, Vietnam, <=50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
