Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.78,0.75,0.42,0.07
verw,0.91,0.81,0.52,0.02
sparkont,1.0,1.0,1.0,0.87
beszeit,0.95,0.94,0.8,0.22
rate,0.9,0.9,0.69,0.29
famges,1.0,1.0,0.98,0.72
buerge,0.3,0.38,0.13,0.06
wohnzeit,0.93,0.93,0.78,0.31
verm,1.0,1.0,0.99,0.81
weitkred,0.54,0.59,0.28,0.08
wohn,1.0,1.0,0.99,0.83
bishkred,0.66,0.6,0.33,0.04
beruf,0.75,0.72,0.43,0.02
pers,0.58,0.67,0.41,0.22
telef,0.97,0.98,0.94,0.71
gastarb,0.99,0.99,0.98,0.81
kredit,0.86,0.9,0.76,0.46
