Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.15
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.48,0.02
sparkont,0.74,0.73,0.36,0.08
beszeit,0.94,0.92,0.77,0.16
rate,0.9,0.9,0.68,0.28
famges,0.79,0.76,0.48,0.08
buerge,0.26,0.34,0.11,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.98,0.93,0.52
weitkred,0.46,0.52,0.22,0.05
wohn,0.68,0.73,0.42,0.16
bishkred,0.66,0.58,0.33,0.01
beruf,0.71,0.7,0.38,0.03
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.92,0.65
gastarb,0.15,0.24,0.08,0.04
kredit,0.82,0.87,0.7,0.41
