Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.77,0.72,0.4,0.07
verw,0.9,0.79,0.47,0.02
sparkont,1.0,0.99,0.98,0.69
beszeit,0.95,0.93,0.78,0.17
rate,0.9,0.91,0.7,0.3
famges,0.99,0.99,0.97,0.69
buerge,0.23,0.29,0.09,0.02
wohnzeit,0.92,0.91,0.73,0.29
verm,1.0,1.0,0.99,0.83
weitkred,0.45,0.48,0.21,0.02
wohn,0.99,0.99,0.98,0.77
bishkred,0.66,0.58,0.33,0.01
beruf,0.69,0.68,0.36,0.02
pers,0.51,0.61,0.34,0.17
telef,0.95,0.97,0.91,0.64
gastarb,0.99,0.99,0.98,0.8
kredit,0.75,0.81,0.6,0.34
