27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Ireland, >50K
54, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Female,0,1879,38, England, <=50K
50, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Male,0,0,40, El-Salvador, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,4712,0,40, Trinadad&Tobago, <=50K
35, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,40, Ecuador, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,20, Dominican-Republic, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
52, Private, 12th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Scotland, >50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
70, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,17871,0,35, Canada, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
29, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
42, Private, Bachelors, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Columbia, >50K
18, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
31, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,5094,0,50, Jamaica, >50K
31, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,99999,0,50, Yugoslavia, >50K
