21, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
37, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,70, United-States, >50K
39, Self-emp-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,1843,40, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Female,0,0,20, Mexico, <=50K
34, Private, HS-grad, Divorced, Prof-specialty, Own-child, Black, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,15, Philippines, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,7, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,1558,40, Thailand, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Germany, <=50K
30, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, Guatemala, <=50K
36, State-gov, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,38, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3451,0,50, United-States, >50K
44, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,30, United-States, <=50K
53, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Other-relative, White, Female,0,0,25, United-States, <=50K
17, Private, 10th, Never-married, Craft-repair, Own-child, White, Female,0,0,15, United-States, <=50K
45, Private, Bachelors, Never-married, Priv-house-serv, Wife, White, Male,0,0,30, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, >50K
56, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
31, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
29, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Own-child, White, Male,0,0,65, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Separated, Protective-serv, Not-in-family, White, Female,0,0,10, United-States, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,32, Vietnam, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
45, Self-emp-inc, Assoc-voc, Separated, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
66, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,3348,0,40, United-States, <=50K
23, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
65, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,25340,0,60, United-States, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,7, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
22, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
44, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, Other, Female,0,0,35, Iran, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
67, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Female,15024,0,1, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
44, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,54, United-States, >50K
53, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,2415,40, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,80, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 12th, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,0,0,37, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,30, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
41, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, >50K
60, Local-gov, 9th, Separated, Tech-support, Unmarried, Black, Female,0,0,35, Japan, <=50K
33, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,50, United-States, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
55, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,2821,0,40, United-States, >50K
25, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Wife, Black, Female,0,0,35, Mexico, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, >50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
77, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,0,0,10, United-States, <=50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
42, Federal-gov, 9th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,15, United-States, <=50K
60, Private, Some-college, Widowed, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
23, Self-emp-inc, Masters, Never-married, Farming-fishing, Other-relative, Amer-Indian-Eskimo, Male,0,0,75, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,68, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2020,45, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,94, United-States, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Without-pay, Prof-school, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
39, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, United-States, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, >50K
29, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,38, United-States, <=50K
41, Private, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,42, United-States, <=50K
44, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Separated, Protective-serv, Unmarried, Black, Male,0,0,30, Mexico, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
30, Private, Preschool, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Local-gov, 9th, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,4650,0,99, United-States, >50K
52, State-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,20, United-States, >50K
51, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,1411,50, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,1522,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,3103,0,50, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
65, Federal-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,16, Thailand, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
37, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K
55, Self-emp-inc, HS-grad, Widowed, Protective-serv, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1740,50, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1876,40, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States, >50K
54, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
79, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,14, United-States, <=50K
19, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
