28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Iran, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
19, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,25, El-Salvador, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Ecuador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
25, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
33, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,54, Scotland, <=50K
41, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,4979,0,50, Ireland, >50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,7430,0,70, Nicaragua, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Canada, >50K
28, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Philippines, >50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,7298,0,50, Vietnam, >50K
47, Private, Doctorate, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Columbia, <=50K
43, Private, Masters, Divorced, Adm-clerical, Unmarried, Other, Male,0,1453,43, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
40, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,5013,0,60, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Jamaica, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, Trinadad&Tobago, <=50K
43, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, China, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,3878,0,40, El-Salvador, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Germany, <=50K
37, Private, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,54, Cambodia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Thailand, <=50K
26, Private, Some-college, Never-married, Tech-support, Other-relative, Amer-Indian-Eskimo, Female,0,0,45, Puerto-Rico, <=50K
40, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, El-Salvador, <=50K
