21, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,35, Ireland, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,45, England, <=50K
71, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, El-Salvador, >50K
66, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, <=50K
20, Private, 11th, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, El-Salvador, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Ecuador, <=50K
20, Private, 11th, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,15, Yugoslavia, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,5, South, <=50K
39, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Ireland, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,60, Nicaragua, >50K
44, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, <=50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, Dominican-Republic, <=50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,1480,35, Portugal, <=50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,4821,0,60, China, >50K
25, Private, Prof-school, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,20, Yugoslavia, <=50K
21, Private, Assoc-voc, Never-married, Prof-specialty, Other-relative, White, Female,0,0,45, Japan, <=50K
18, Private, 12th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, Yugoslavia, <=50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, Jamaica, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,4386,0,40, El-Salvador, >50K
29, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,36, Germany, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,99, Cambodia, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,32, Canada, >50K
37, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,45, Yugoslavia, <=50K
55, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, Thailand, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,60, Scotland, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, El-Salvador, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Guatemala, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Guatemala, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,60, Ecuador, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
37, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Nicaragua, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, Laos, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,5178,0,40, Laos, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,35, France, <=50K
36, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
52, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, White, Male,0,0,54, Poland, >50K
45, Federal-gov, 7th-8th, Divorced, Priv-house-serv, Unmarried, Black, Male,0,0,40, England, <=50K
28, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, Hong, <=50K
19, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,28, Nicaragua, <=50K
19, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Male,0,0,40, Japan, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,36, Honduras, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1902,40, Yugoslavia, <=50K
42, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Cuba, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ecuador, <=50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,30, India, <=50K
66, Self-emp-inc, Prof-school, Divorced, Prof-specialty, Husband, White, Male,2088,0,60, Peru, >50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
30, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,30, Jamaica, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Japan, >50K
19, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, Taiwan, >50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,45, Thailand, <=50K
36, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Canada, >50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,45, Yugoslavia, >50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Thailand, >50K
19, Private, Prof-school, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,2438,0,40, Puerto-Rico, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, Jamaica, <=50K
38, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,30, France, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Germany, <=50K
36, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Japan, >50K
28, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,40, Columbia, <=50K
58, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,50, Jamaica, <=50K
23, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,45, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,37, Taiwan, <=50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
57, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Germany, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, South, >50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,15, Canada, <=50K
52, Private, Some-college, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Honduras, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,55, Ireland, >50K
21, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, Trinadad&Tobago, <=50K
59, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Columbia, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,84, China, >50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Hong, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Taiwan, <=50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,10, Guatemala, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, Guatemala, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Female,0,0,30, Trinadad&Tobago, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,40, China, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,40, Taiwan, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,30, Scotland, <=50K
55, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,35, France, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, China, <=50K
46, Federal-gov, 12th, Divorced, Sales, Not-in-family, White, Female,0,0,20, Jamaica, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,45, Thailand, >50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,15024,0,48, Puerto-Rico, <=50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,66, Ireland, >50K
24, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, England, <=50K
32, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, Thailand, >50K
32, Self-emp-not-inc, Masters, Never-married, Craft-repair, Husband, White, Male,0,1888,40, Trinadad&Tobago, <=50K
27, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Haiti, <=50K
38, Private, Bachelors, Divorced, Handlers-cleaners, Husband, White, Male,0,0,60, El-Salvador, <=50K
53, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,40, Greece, <=50K
52, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,60, Scotland, <=50K
27, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,40, Taiwan, <=50K
