Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.95,0.57
moral,0.81,0.78,0.47,0.08
verw,0.9,0.8,0.51,0.01
sparkont,0.97,0.96,0.85,0.36
beszeit,0.96,0.94,0.81,0.22
rate,0.9,0.9,0.7,0.26
famges,0.96,0.96,0.85,0.43
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.94,0.94,0.8,0.35
verm,0.99,0.99,0.98,0.7
weitkred,0.51,0.56,0.26,0.06
wohn,0.72,0.75,0.46,0.16
bishkred,0.67,0.61,0.33,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.52,0.62,0.35,0.18
telef,0.97,0.98,0.95,0.72
gastarb,0.27,0.38,0.16,0.08
kredit,0.85,0.89,0.74,0.44
