Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.17
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.48,0.04
sparkont,0.73,0.72,0.35,0.08
beszeit,0.94,0.92,0.77,0.17
rate,0.89,0.9,0.68,0.26
famges,0.79,0.77,0.48,0.09
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.76,0.3
verm,0.98,0.97,0.91,0.46
weitkred,0.49,0.55,0.24,0.07
wohn,0.68,0.73,0.42,0.15
bishkred,0.65,0.57,0.32,0.01
beruf,0.71,0.7,0.38,0.04
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.92,0.65
gastarb,0.14,0.22,0.08,0.04
kredit,0.84,0.88,0.72,0.43
