Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.89,0.72,0.15
moral,0.79,0.75,0.43,0.07
verw,0.89,0.79,0.46,0.02
sparkont,0.72,0.72,0.34,0.08
beszeit,0.95,0.92,0.78,0.17
rate,0.9,0.9,0.69,0.31
famges,0.78,0.76,0.47,0.09
buerge,0.22,0.29,0.09,0.01
wohnzeit,0.92,0.91,0.73,0.28
verm,0.99,0.99,0.96,0.61
weitkred,0.48,0.52,0.23,0.04
wohn,0.69,0.73,0.43,0.15
bishkred,0.65,0.57,0.31,0.01
beruf,0.72,0.7,0.39,0.02
pers,0.5,0.6,0.33,0.17
telef,0.97,0.98,0.95,0.72
gastarb,0.16,0.25,0.09,0.04
kredit,0.81,0.86,0.68,0.39
