Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.79,0.75,0.43,0.09
verw,0.9,0.8,0.48,0.03
sparkont,0.74,0.73,0.36,0.09
beszeit,0.94,0.92,0.76,0.17
rate,0.9,0.91,0.7,0.3
famges,0.78,0.76,0.48,0.09
buerge,0.26,0.35,0.11,0.05
wohnzeit,0.93,0.93,0.78,0.33
verm,0.98,0.98,0.92,0.48
weitkred,0.49,0.55,0.24,0.06
wohn,0.68,0.72,0.41,0.16
bishkred,0.65,0.56,0.32,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.52,0.62,0.35,0.18
telef,0.95,0.96,0.9,0.63
gastarb,0.15,0.24,0.08,0.04
kredit,0.83,0.87,0.71,0.42
