34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,27, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,4626,0,80, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,68, Vietnam, >50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,99999,0,40, United-States, >50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
44, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Japan, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,50, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,99999,0,50, United-States, >50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,54, United-States, >50K
67, Self-emp-not-inc, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,81, United-States, >50K
48, Private, Bachelors, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Federal-gov, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
