value,frequency,column
4,0.39875,laufkont
1,0.2575,laufkont
2,0.23625,laufkont
3,0.1075,laufkont
2,0.53,moral
4,0.315,moral
3,0.08125,moral
0,0.0375,moral
1,0.03625,moral
3,0.26125,verw
0,0.25375,verw
2,0.19375,verw
1,0.10125,verw
9,0.09,verw
6,0.05,verw
10,0.02,verw
5,0.01375,verw
4,0.01,verw
8,0.00625,verw
1,0.5725,sparkont
5,0.165,sparkont
2,0.1275,sparkont
3,0.075,sparkont
4,0.06,sparkont
3,0.32875,beszeit
5,0.24375,beszeit
2,0.1825,beszeit
4,0.17875,beszeit
1,0.06625,beszeit
4,0.4775,rate
2,0.20375,rate
3,0.16,rate
1,0.15875,rate
3,0.5375,famges
2,0.305,famges
4,0.08625,famges
1,0.07125,famges
1,0.8925,buerge
3,0.06125,buerge
2,0.04625,buerge
4,0.3975,wohnzeit
2,0.34875,wohnzeit
1,0.13,wohnzeit
3,0.12375,wohnzeit
3,0.3375,verm
1,0.255,verm
2,0.205,verm
4,0.2025,verm
3,0.80875,weitkred
1,0.16125,weitkred
2,0.03,weitkred
2,0.6675,wohn
1,0.20375,wohn
3,0.12875,wohn
1,0.63625,bishkred
2,0.33125,bishkred
3,0.02625,bishkred
4,0.00625,bishkred
3,0.63375,beruf
2,0.19375,beruf
4,0.15875,beruf
1,0.01375,beruf
2,0.8475,pers
1,0.1525,pers
1,0.60375,telef
2,0.39625,telef
2,0.95125,gastarb
1,0.04875,gastarb
1,0.71875,kredit
0,0.28125,kredit
