Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.74,0.16
moral,0.79,0.76,0.44,0.07
verw,0.88,0.76,0.46,0.01
sparkont,0.76,0.76,0.39,0.11
beszeit,0.94,0.92,0.76,0.14
rate,0.92,0.92,0.74,0.31
famges,0.78,0.74,0.47,0.09
buerge,0.26,0.35,0.11,0.05
wohnzeit,0.95,0.94,0.81,0.35
verm,0.98,0.98,0.93,0.49
weitkred,0.5,0.55,0.25,0.06
wohn,0.69,0.74,0.43,0.17
bishkred,0.67,0.61,0.34,0.04
beruf,0.7,0.67,0.36,0.01
pers,0.64,0.72,0.47,0.25
telef,0.97,0.98,0.94,0.7
gastarb,0.2,0.3,0.11,0.06
kredit,0.83,0.87,0.7,0.41
