Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.9,0.73,0.17
moral,0.78,0.73,0.41,0.06
verw,0.89,0.78,0.46,0.02
sparkont,0.7,0.7,0.32,0.08
beszeit,0.95,0.93,0.79,0.19
rate,0.9,0.91,0.7,0.29
famges,0.78,0.75,0.47,0.08
buerge,0.32,0.4,0.13,0.06
wohnzeit,0.92,0.91,0.74,0.28
verm,0.98,0.98,0.92,0.48
weitkred,0.5,0.56,0.25,0.07
wohn,0.7,0.74,0.44,0.17
bishkred,0.65,0.58,0.32,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.47,0.57,0.3,0.16
telef,0.94,0.96,0.88,0.6
gastarb,0.17,0.26,0.09,0.05
kredit,0.85,0.89,0.74,0.44
