Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.82,0.79,0.47,0.09
verw,0.9,0.79,0.49,0.03
sparkont,1.0,1.0,0.99,0.8
beszeit,0.96,0.94,0.82,0.24
rate,0.9,0.9,0.7,0.25
famges,1.0,1.0,0.98,0.72
buerge,0.29,0.36,0.12,0.04
wohnzeit,0.95,0.94,0.82,0.4
verm,1.0,1.0,0.99,0.81
weitkred,0.48,0.52,0.23,0.04
wohn,1.0,1.0,0.99,0.85
bishkred,0.66,0.6,0.33,0.03
beruf,0.73,0.7,0.4,0.03
pers,0.54,0.64,0.37,0.19
telef,0.98,0.98,0.95,0.73
gastarb,1.0,1.0,0.99,0.88
kredit,0.85,0.89,0.74,0.44
