49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1966,45, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
42, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Local-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, <=50K
33, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1975,48, United-States, >50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,30, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
29, Private, Doctorate, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
