Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.93,0.51
moral,0.83,0.8,0.5,0.11
verw,0.89,0.79,0.47,0.01
sparkont,0.95,0.95,0.79,0.37
beszeit,0.94,0.92,0.76,0.19
rate,0.91,0.91,0.72,0.33
famges,0.95,0.95,0.84,0.42
buerge,0.32,0.4,0.14,0.06
wohnzeit,0.95,0.94,0.81,0.36
verm,1.0,1.0,1.0,0.86
weitkred,0.5,0.55,0.25,0.05
wohn,0.96,0.96,0.89,0.51
bishkred,0.67,0.59,0.33,0.02
beruf,0.75,0.74,0.42,0.05
pers,0.61,0.69,0.43,0.23
telef,0.96,0.97,0.92,0.65
gastarb,0.86,0.9,0.76,0.46
kredit,0.82,0.86,0.69,0.4
