Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.76,0.17
moral,0.78,0.74,0.41,0.08
verw,0.89,0.79,0.45,0.03
sparkont,0.73,0.72,0.35,0.08
beszeit,0.95,0.93,0.79,0.19
rate,0.9,0.9,0.69,0.28
famges,0.8,0.78,0.5,0.09
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.31
verm,0.98,0.98,0.92,0.49
weitkred,0.47,0.53,0.23,0.05
wohn,0.69,0.73,0.42,0.16
bishkred,0.65,0.56,0.31,0.01
beruf,0.71,0.7,0.38,0.04
pers,0.5,0.6,0.34,0.17
telef,0.97,0.98,0.94,0.7
gastarb,0.14,0.22,0.08,0.04
kredit,0.84,0.88,0.72,0.43
