Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.81,0.26
moral,0.78,0.74,0.42,0.06
verw,0.89,0.78,0.48,0.02
sparkont,0.79,0.78,0.42,0.11
beszeit,0.95,0.94,0.8,0.23
rate,0.9,0.9,0.69,0.26
famges,0.81,0.8,0.52,0.15
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.93,0.77,0.31
verm,0.98,0.98,0.92,0.47
weitkred,0.53,0.57,0.27,0.06
wohn,0.72,0.76,0.46,0.17
bishkred,0.67,0.6,0.34,0.02
beruf,0.73,0.71,0.41,0.02
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.7
gastarb,0.38,0.48,0.23,0.12
kredit,0.84,0.88,0.72,0.42
