value,frequency,column
4,0.2975,laufkont
3,0.245,laufkont
1,0.24,laufkont
2,0.2175,laufkont
2,0.51375,moral
4,0.305,moral
3,0.08625,moral
1,0.05125,moral
0,0.04375,moral
3,0.26625,verw
0,0.24,verw
2,0.205,verw
1,0.12125,verw
9,0.08875,verw
6,0.05,verw
5,0.01375,verw
8,0.0075,verw
4,0.005,verw
10,0.0025,verw
1,0.2925,sparkont
3,0.19,sparkont
5,0.1775,sparkont
4,0.17,sparkont
2,0.17,sparkont
3,0.335,beszeit
5,0.23125,beszeit
4,0.205,beszeit
2,0.1675,beszeit
1,0.06125,beszeit
4,0.46375,rate
2,0.24625,rate
1,0.14625,rate
3,0.14375,rate
3,0.345,famges
2,0.27625,famges
1,0.1975,famges
4,0.18125,famges
1,0.89375,buerge
3,0.06,buerge
2,0.04625,buerge
4,0.4225,wohnzeit
2,0.285,wohnzeit
3,0.1625,wohnzeit
1,0.13,wohnzeit
4,0.27375,verm
3,0.25125,verm
2,0.24875,verm
1,0.22625,verm
3,0.82,weitkred
1,0.1575,weitkred
2,0.0225,weitkred
2,0.44625,wohn
1,0.305,wohn
3,0.24875,wohn
1,0.645,bishkred
2,0.31875,bishkred
3,0.03,bishkred
4,0.00625,bishkred
3,0.67375,beruf
2,0.16625,beruf
4,0.145,beruf
1,0.015,beruf
2,0.86875,pers
1,0.13125,pers
1,0.595,telef
2,0.405,telef
2,0.90875,gastarb
1,0.09125,gastarb
1,0.69625,kredit
0,0.30375,kredit
