27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,13655,0,50, Dominican-Republic, >50K
21, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Iran, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, England, <=50K
58, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Other, Male,0,0,40, El-Salvador, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
32, Private, 12th, Never-married, Sales, Husband, Black, Female,0,0,60, El-Salvador, >50K
53, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,14083,0,50, Ecuador, >50K
21, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
53, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, Dominican-Republic, >50K
51, Local-gov, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,36, Scotland, <=50K
33, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
24, Private, Bachelors, Never-married, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,45, Nicaragua, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,15, Cambodia, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
67, Self-emp-inc, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, Other, Female,0,1977,40, Vietnam, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, >50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
45, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,70, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
65, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
27, Private, Some-college, Divorced, Protective-serv, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3879,0,44, Columbia, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Black, Female,0,0,35, El-Salvador, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Own-child, Black, Female,0,0,30, Dominican-Republic, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, Germany, <=50K
38, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Canada, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,43, Canada, >50K
28, State-gov, Some-college, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Thailand, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Greece, <=50K
19, Private, 7th-8th, Never-married, Protective-serv, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Nicaragua, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,1887,40, Laos, >50K
58, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
22, Private, 7th-8th, Never-married, Handlers-cleaners, Husband, White, Female,0,0,38, Laos, <=50K
58, Private, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Philippines, >50K
39, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
35, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
34, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, Other, Male,0,0,75, Japan, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
23, Private, Masters, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
