Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.97,0.9,0.44
moral,0.81,0.78,0.46,0.08
verw,0.9,0.79,0.49,0.01
sparkont,0.9,0.9,0.65,0.27
beszeit,0.96,0.94,0.82,0.23
rate,0.92,0.92,0.74,0.31
famges,0.9,0.9,0.7,0.27
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.95,0.95,0.84,0.4
verm,1.0,0.99,0.98,0.77
weitkred,0.51,0.56,0.26,0.05
wohn,0.9,0.92,0.76,0.38
bishkred,0.66,0.61,0.33,0.03
beruf,0.74,0.71,0.41,0.02
pers,0.55,0.65,0.38,0.2
telef,0.98,0.98,0.96,0.74
gastarb,0.72,0.79,0.56,0.31
kredit,0.86,0.9,0.76,0.46
