66, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
60, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Ireland, >50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,44, Ecuador, >50K
29, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,10013,0,45, United-States, >50K
33, Private, 12th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
28, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,60, Yugoslavia, <=50K
52, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Dominican-Republic, <=50K
34, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
52, Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,0,1902,40, South, >50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,60, Nicaragua, >50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Other, Male,0,0,60, Dominican-Republic, <=50K
23, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, Poland, <=50K
21, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,10520,0,45, China, >50K
57, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
