Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.74
moral,0.82,0.77,0.47,0.07
verw,0.9,0.78,0.46,0.01
sparkont,0.99,0.98,0.94,0.56
beszeit,0.95,0.93,0.78,0.2
rate,0.87,0.87,0.63,0.23
famges,0.98,0.98,0.92,0.54
buerge,0.26,0.34,0.11,0.04
wohnzeit,0.91,0.91,0.72,0.3
verm,1.0,1.0,0.99,0.85
weitkred,0.51,0.56,0.26,0.05
wohn,0.97,0.97,0.91,0.55
bishkred,0.67,0.59,0.33,0.01
beruf,0.71,0.69,0.38,0.02
pers,0.49,0.59,0.32,0.17
telef,0.93,0.95,0.88,0.59
gastarb,0.26,0.37,0.15,0.08
kredit,0.84,0.88,0.72,0.42
