45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,72, Dominican-Republic, >50K
50, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, England, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, Other, Male,0,0,15, Ecuador, <=50K
60, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, <=50K
26, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,15, El-Salvador, <=50K
68, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,20, Dominican-Republic, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
59, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, >50K
56, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,35, Scotland, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
33, Self-emp-not-inc, Bachelors, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Canada, >50K
21, State-gov, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, Cuba, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,24, Philippines, <=50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Vietnam, <=50K
31, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,38992,0,50, Columbia, >50K
35, Private, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, Other, Male,0,0,60, Yugoslavia, >50K
