Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.78
moral,0.79,0.76,0.43,0.09
verw,0.89,0.76,0.44,0.0
sparkont,1.0,1.0,0.99,0.77
beszeit,0.95,0.93,0.79,0.18
rate,0.92,0.92,0.74,0.32
famges,1.0,1.0,0.98,0.73
buerge,0.32,0.39,0.13,0.04
wohnzeit,0.94,0.94,0.81,0.38
verm,1.0,1.0,0.99,0.81
weitkred,0.52,0.58,0.27,0.07
wohn,1.0,1.0,0.99,0.86
bishkred,0.65,0.58,0.32,0.02
beruf,0.83,0.85,0.61,0.28
pers,0.65,0.73,0.48,0.26
telef,0.97,0.98,0.94,0.71
gastarb,1.0,1.0,0.99,0.87
kredit,0.84,0.88,0.72,0.43
