Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.77,0.72,0.4,0.06
verw,0.9,0.78,0.46,0.01
sparkont,0.99,0.99,0.95,0.63
beszeit,0.95,0.93,0.79,0.18
rate,0.89,0.89,0.66,0.27
famges,0.98,0.98,0.91,0.53
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.92,0.92,0.75,0.31
verm,1.0,1.0,0.99,0.8
weitkred,0.47,0.5,0.23,0.02
wohn,0.97,0.97,0.91,0.54
bishkred,0.66,0.58,0.33,0.01
beruf,0.74,0.71,0.41,0.02
pers,0.43,0.54,0.28,0.14
telef,0.94,0.96,0.89,0.61
gastarb,0.31,0.42,0.18,0.09
kredit,0.82,0.87,0.7,0.41
