Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.92,0.45
moral,0.79,0.75,0.43,0.1
verw,0.9,0.82,0.54,0.02
sparkont,0.97,0.97,0.87,0.43
beszeit,0.95,0.93,0.8,0.19
rate,0.94,0.94,0.79,0.35
famges,0.96,0.96,0.86,0.44
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.92,0.92,0.75,0.28
verm,1.0,1.0,0.99,0.77
weitkred,0.52,0.56,0.27,0.05
wohn,0.73,0.76,0.47,0.17
bishkred,0.67,0.6,0.33,0.02
beruf,0.7,0.68,0.36,0.03
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.94,0.71
gastarb,0.3,0.41,0.18,0.09
kredit,0.91,0.93,0.83,0.53
