Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.17
moral,0.82,0.79,0.47,0.09
verw,0.89,0.76,0.45,0.0
sparkont,0.75,0.74,0.38,0.06
beszeit,0.95,0.94,0.81,0.21
rate,0.93,0.93,0.76,0.31
famges,0.78,0.74,0.47,0.08
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.95,0.94,0.81,0.38
verm,0.97,0.97,0.91,0.44
weitkred,0.52,0.57,0.27,0.06
wohn,0.71,0.75,0.45,0.15
bishkred,0.67,0.61,0.34,0.04
beruf,0.73,0.71,0.4,0.03
pers,0.63,0.72,0.46,0.25
telef,0.96,0.97,0.93,0.68
gastarb,0.19,0.29,0.1,0.05
kredit,0.86,0.9,0.76,0.46
