Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.44
moral,0.79,0.75,0.43,0.1
verw,0.89,0.77,0.46,0.0
sparkont,0.9,0.9,0.65,0.25
beszeit,0.96,0.95,0.85,0.29
rate,0.91,0.92,0.73,0.29
famges,0.9,0.89,0.69,0.25
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.93,0.92,0.77,0.32
verm,0.99,0.99,0.97,0.69
weitkred,0.52,0.57,0.26,0.07
wohn,0.9,0.91,0.74,0.33
bishkred,0.66,0.59,0.33,0.03
beruf,0.7,0.68,0.37,0.02
pers,0.59,0.68,0.42,0.22
telef,0.97,0.98,0.95,0.72
gastarb,0.72,0.79,0.56,0.31
kredit,0.87,0.91,0.77,0.47
