Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.92,0.47
moral,0.8,0.77,0.45,0.09
verw,0.89,0.78,0.47,0.01
sparkont,0.9,0.89,0.64,0.23
beszeit,0.94,0.93,0.77,0.22
rate,0.92,0.93,0.75,0.31
famges,0.9,0.89,0.7,0.28
buerge,0.3,0.37,0.12,0.04
wohnzeit,0.92,0.91,0.74,0.26
verm,0.99,0.99,0.98,0.73
weitkred,0.5,0.56,0.25,0.07
wohn,0.89,0.91,0.74,0.33
bishkred,0.68,0.61,0.35,0.04
beruf,0.72,0.69,0.4,0.02
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.69
gastarb,0.72,0.79,0.56,0.31
kredit,0.85,0.89,0.74,0.44
