Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.78,0.2
moral,0.79,0.76,0.43,0.08
verw,0.89,0.79,0.49,0.02
sparkont,0.79,0.79,0.43,0.1
beszeit,0.94,0.92,0.76,0.17
rate,0.91,0.92,0.72,0.31
famges,0.8,0.78,0.5,0.12
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.93,0.92,0.76,0.33
verm,0.98,0.98,0.93,0.53
weitkred,0.47,0.52,0.23,0.05
wohn,0.73,0.76,0.47,0.18
bishkred,0.67,0.61,0.33,0.03
beruf,0.73,0.68,0.4,0.01
pers,0.61,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.67
gastarb,0.36,0.47,0.22,0.11
kredit,0.84,0.88,0.73,0.43
