Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.85,0.34
moral,0.79,0.75,0.43,0.09
verw,0.89,0.77,0.44,0.02
sparkont,0.85,0.84,0.53,0.17
beszeit,0.95,0.94,0.8,0.25
rate,0.92,0.92,0.74,0.33
famges,0.87,0.85,0.62,0.2
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.92,0.91,0.74,0.29
verm,0.99,0.99,0.98,0.72
weitkred,0.46,0.5,0.22,0.03
wohn,0.83,0.85,0.63,0.25
bishkred,0.65,0.58,0.32,0.01
beruf,0.74,0.71,0.41,0.02
pers,0.55,0.64,0.38,0.2
telef,0.94,0.96,0.9,0.62
gastarb,0.5,0.6,0.34,0.17
kredit,0.85,0.89,0.74,0.45
