Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.83
moral,0.77,0.72,0.4,0.06
verw,0.89,0.77,0.46,0.02
sparkont,1.0,1.0,0.99,0.83
beszeit,0.95,0.93,0.8,0.19
rate,0.91,0.91,0.72,0.32
famges,0.99,0.99,0.98,0.68
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.32
verm,1.0,1.0,0.99,0.78
weitkred,0.45,0.46,0.22,0.01
wohn,1.0,1.0,0.99,0.85
bishkred,0.66,0.58,0.33,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.44,0.54,0.28,0.14
telef,0.95,0.97,0.91,0.64
gastarb,0.98,0.99,0.97,0.78
kredit,0.82,0.87,0.7,0.41
