Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.91,0.45
moral,0.82,0.79,0.47,0.1
verw,0.92,0.83,0.58,0.02
sparkont,0.92,0.91,0.69,0.26
beszeit,0.96,0.94,0.82,0.23
rate,0.91,0.91,0.71,0.3
famges,0.9,0.9,0.7,0.28
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.94,0.93,0.8,0.37
verm,1.0,1.0,0.98,0.73
weitkred,0.5,0.56,0.25,0.07
wohn,0.87,0.89,0.7,0.32
bishkred,0.66,0.59,0.33,0.03
beruf,0.73,0.7,0.4,0.03
pers,0.67,0.74,0.5,0.27
telef,0.96,0.97,0.92,0.67
gastarb,0.73,0.8,0.57,0.32
kredit,0.87,0.9,0.76,0.47
