Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.48,0.04
sparkont,0.74,0.73,0.36,0.08
beszeit,0.95,0.94,0.8,0.2
rate,0.9,0.91,0.7,0.29
famges,0.78,0.76,0.47,0.08
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.93,0.92,0.77,0.33
verm,0.97,0.97,0.91,0.44
weitkred,0.48,0.54,0.24,0.05
wohn,0.65,0.7,0.38,0.14
bishkred,0.65,0.57,0.32,0.01
beruf,0.73,0.72,0.4,0.04
pers,0.55,0.64,0.38,0.2
telef,0.96,0.97,0.92,0.67
gastarb,0.14,0.22,0.07,0.04
kredit,0.84,0.88,0.72,0.43
