Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.8,0.76,0.45,0.08
verw,0.9,0.8,0.52,0.01
sparkont,1.0,1.0,0.99,0.81
beszeit,0.94,0.92,0.75,0.15
rate,0.92,0.92,0.75,0.29
famges,0.99,0.99,0.98,0.7
buerge,0.29,0.37,0.12,0.04
wohnzeit,0.93,0.92,0.77,0.31
verm,1.0,1.0,1.0,0.85
weitkred,0.48,0.53,0.23,0.05
wohn,1.0,1.0,0.99,0.79
bishkred,0.67,0.6,0.34,0.02
beruf,0.71,0.69,0.38,0.02
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.94,0.71
gastarb,0.98,0.99,0.97,0.77
kredit,0.86,0.89,0.75,0.45
