Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.78,0.2
moral,0.78,0.74,0.41,0.06
verw,0.9,0.81,0.51,0.03
sparkont,0.76,0.75,0.38,0.09
beszeit,0.94,0.93,0.77,0.17
rate,0.9,0.91,0.7,0.29
famges,0.8,0.78,0.5,0.1
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.93,0.93,0.78,0.32
verm,0.99,0.99,0.95,0.57
weitkred,0.52,0.57,0.26,0.08
wohn,0.71,0.75,0.44,0.17
bishkred,0.67,0.61,0.34,0.03
beruf,0.75,0.72,0.42,0.02
pers,0.61,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.7
gastarb,0.22,0.32,0.12,0.06
kredit,0.86,0.9,0.75,0.45
