Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.28
moral,0.79,0.76,0.43,0.08
verw,0.9,0.8,0.5,0.01
sparkont,0.79,0.79,0.43,0.14
beszeit,0.95,0.93,0.78,0.17
rate,0.91,0.91,0.72,0.3
famges,0.83,0.81,0.54,0.14
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.77,0.3
verm,0.98,0.98,0.92,0.49
weitkred,0.52,0.58,0.27,0.07
wohn,0.72,0.76,0.46,0.17
bishkred,0.66,0.6,0.33,0.03
beruf,0.75,0.72,0.43,0.03
pers,0.59,0.68,0.42,0.22
telef,0.98,0.99,0.96,0.76
gastarb,0.25,0.36,0.14,0.07
kredit,0.85,0.89,0.74,0.44
