Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.82
moral,0.8,0.76,0.45,0.07
verw,0.89,0.78,0.46,0.01
sparkont,1.0,1.0,0.99,0.81
beszeit,0.95,0.93,0.79,0.19
rate,0.92,0.92,0.74,0.31
famges,0.99,0.99,0.98,0.7
buerge,0.3,0.37,0.12,0.04
wohnzeit,0.92,0.91,0.75,0.29
verm,1.0,1.0,1.0,0.88
weitkred,0.49,0.54,0.24,0.05
wohn,1.0,1.0,0.99,0.82
bishkred,0.65,0.57,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.51,0.61,0.34,0.18
telef,0.94,0.95,0.88,0.6
gastarb,0.99,0.99,0.97,0.79
kredit,0.83,0.87,0.71,0.42
