42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1967,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
35, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,35, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,30, Vietnam, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Local-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,1641,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,65, United-States, >50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,20, Dominican-Republic, <=50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
44, Self-emp-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
38, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,43, Mexico, >50K
31, Private, HS-grad, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,1758,30, United-States, <=50K
29, Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,17, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3325,0,54, United-States, >50K
29, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2414,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,36, Iran, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,35, United-States, <=50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, Ecuador, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, England, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1895,40, United-States, >50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
39, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
66, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,79, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,6827,0,50, United-States, >50K
27, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,38, United-States, <=50K
63, Private, Assoc-voc, Divorced, Other-service, Unmarried, White, Male,0,0,35, United-States, >50K
29, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
27, Local-gov, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,48, United-States, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,24, Vietnam, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Peru, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
43, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
29, Private, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,20, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
41, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Germany, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
51, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,12, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,72, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
39, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, >50K
50, Private, Bachelors, Divorced, Adm-clerical, Wife, White, Female,0,0,30, United-States, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Wife, White, Female,2084,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
28, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Honduras, <=50K
37, Private, Some-college, Separated, Exec-managerial, Wife, White, Female,0,0,40, Poland, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
33, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,36, United-States, <=50K
41, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,99999,0,70, Italy, >50K
64, Local-gov, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Honduras, <=50K
58, Private, Masters, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,42, United-States, >50K
