48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,45, Dominican-Republic, >50K
23, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,50, Ireland, >50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,30039,0,50, England, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, El-Salvador, <=50K
64, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
39, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, <=50K
48, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
37, Private, Assoc-voc, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
20, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,50, Scotland, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Ireland, <=50K
29, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
55, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Canada, <=50K
29, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,50, Cuba, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Poland, <=50K
33, Private, Bachelors, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
28, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Columbia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Yugoslavia, >50K
27, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
43, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,80, Jamaica, >50K
47, Self-emp-inc, Some-college, Divorced, Sales, Husband, White, Female,0,0,50, Trinadad&Tobago, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
35, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
74, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,10, Germany, <=50K
55, Private, HS-grad, Widowed, Adm-clerical, Husband, Black, Female,0,0,44, Cambodia, <=50K
90, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,2623,0,24, Cambodia, >50K
36, State-gov, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,50, Yugoslavia, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
32, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Puerto-Rico, <=50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,15794,0,51, El-Salvador, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Guatemala, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, Guatemala, >50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,50, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,5127,0,35, Japan, >50K
35, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,50, Laos, <=50K
39, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
23, Local-gov, 12th, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
17, Private, 10th, Separated, Other-service, Own-child, Black, Male,0,0,20, Japan, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
38, Private, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
31, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,42, Cuba, >50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,39, Ecuador, <=50K
36, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
63, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,13442,0,40, Cuba, >50K
23, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, Other, Female,0,0,60, Jamaica, <=50K
20, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Jamaica, <=50K
25, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, South, >50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,45, Thailand, <=50K
37, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
28, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Taiwan, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Greece, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Guatemala, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Portugal, <=50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,10, Jamaica, <=50K
68, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,5178,0,40, India, <=50K
75, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, France, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Japan, >50K
61, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,43, Jamaica, <=50K
60, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, Other, Female,15024,0,35, Ecuador, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
22, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Germany, <=50K
26, Private, 11th, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,16, South, >50K
35, Private, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,70, Canada, <=50K
29, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Haiti, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,65, Ireland, >50K
37, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,55, Trinadad&Tobago, <=50K
32, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,55, Trinadad&Tobago, <=50K
43, Private, HS-grad, Divorced, Tech-support, Husband, Black, Female,0,0,40, Columbia, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,54, Hong, >50K
20, Private, HS-grad, Married-spouse-absent, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,45, Guatemala, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Greece, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
23, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Canada, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, El-Salvador, >50K
39, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,40, Taiwan, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Husband, Other, Male,0,0,67, South, <=50K
30, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,14253,0,60, Scotland, >50K
35, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
41, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
27, Local-gov, 12th, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Wife, Other, Male,0,0,40, Thailand, >50K
24, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,2714,0,40, Portugal, <=50K
37, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
38, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,54, England, <=50K
42, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, Thailand, >50K
24, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Taiwan, <=50K
34, State-gov, Masters, Never-married, Sales, Husband, White, Male,0,0,78, Guatemala, <=50K
28, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,17, El-Salvador, <=50K
40, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,50, Germany, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Female,0,0,40, Puerto-Rico, <=50K
53, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
58, Private, Prof-school, Widowed, Exec-managerial, Not-in-family, Other, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
50, Private, Bachelors, Widowed, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Black, Male,0,0,54, Scotland, <=50K
24, Private, Some-college, Never-married, Transport-moving, Other-relative, Amer-Indian-Eskimo, Male,0,0,60, Peru, <=50K
90, Private, 5th-6th, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Taiwan, <=50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Portugal, <=50K
52, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Female,7687,0,40, Outlying-US(Guam-USVI-etc), >50K
66, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,45, India, <=50K
20, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
40, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,60, Taiwan, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,16, El-Salvador, <=50K
30, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
28, Private, 10th, Married-civ-spouse, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,30, Germany, <=50K
41, Local-gov, HS-grad, Divorced, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,35, Italy, <=50K
30, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Other-relative, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Columbia, >50K
23, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,8, Guatemala, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
60, Private, Bachelors, Divorced, Craft-repair, Husband, Other, Male,0,0,48, Ireland, >50K
21, Local-gov, 10th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,36, Hong, <=50K
17, Private, 10th, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
50, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
28, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, <=50K
31, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Dominican-Republic, <=50K
66, Local-gov, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Hong, <=50K
33, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
52, Private, Doctorate, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Laos, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,36, Outlying-US(Guam-USVI-etc), <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,1902,45, Taiwan, <=50K
29, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,80, India, >50K
49, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
47, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, 9th, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,0,37, Honduras, >50K
