51, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,65, United-States, >50K
36, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,29, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, United-States, >50K
70, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,8614,0,50, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Private, Bachelors, Divorced, Craft-repair, Wife, White, Male,0,1977,40, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,29, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1616,50, United-States, >50K
65, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Guatemala, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Thailand, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,43, United-States, >50K
25, Private, 9th, Never-married, Priv-house-serv, Own-child, White, Female,0,0,29, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,15, United-States, <=50K
35, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,7687,0,40, United-States, >50K
44, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
