Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.79,0.75,0.42,0.07
verw,0.9,0.8,0.49,0.02
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.93,0.78,0.19
rate,0.91,0.92,0.73,0.32
famges,1.0,1.0,0.99,0.76
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,1.0,1.0,1.0,0.86
weitkred,0.55,0.61,0.29,0.08
wohn,1.0,1.0,0.99,0.85
bishkred,0.66,0.58,0.32,0.02
beruf,0.75,0.74,0.43,0.05
pers,0.61,0.7,0.44,0.23
telef,0.97,0.98,0.95,0.72
gastarb,0.99,0.99,0.98,0.83
kredit,0.85,0.89,0.73,0.44
