37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
63, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,4089,0,40, Mexico, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Jamaica, >50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
79, Self-emp-not-inc, 7th-8th, Separated, Prof-specialty, Not-in-family, White, Male,0,0,35, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Iran, <=50K
20, Self-emp-not-inc, 12th, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,8, Yugoslavia, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Wife, Other, Female,6959,0,40, Hungary, >50K
40, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,50, United-States, >50K
18, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,1886,40, United-States, >50K
50, Private, Bachelors, Divorced, Sales, Not-in-family, Black, Female,0,0,50, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, <=50K
50, State-gov, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Honduras, >50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
30, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, England, >50K
44, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
33, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Black, Female,0,1886,40, United-States, <=50K
40, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,65, Italy, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,35, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,40, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, El-Salvador, >50K
33, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, Japan, <=50K
29, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,40, Hungary, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Scotland, <=50K
34, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, China, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, Columbia, >50K
25, State-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,50, Yugoslavia, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,10, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, Mexico, <=50K
