Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.95,0.94,0.83,0.26
moral,0.79,0.76,0.43,0.09
verw,0.9,0.8,0.5,0.02
sparkont,0.76,0.75,0.39,0.1
beszeit,0.95,0.93,0.78,0.23
rate,0.92,0.92,0.73,0.3
famges,0.79,0.77,0.49,0.12
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.91,0.91,0.73,0.29
verm,0.98,0.97,0.91,0.48
weitkred,0.48,0.54,0.23,0.06
wohn,0.74,0.77,0.49,0.17
bishkred,0.68,0.61,0.34,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.62,0.7,0.44,0.23
telef,0.96,0.97,0.93,0.68
gastarb,0.32,0.42,0.19,0.09
kredit,0.86,0.89,0.75,0.45
