41, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,1898,60, Dominican-Republic, >50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Ireland, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,48, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
18, Private, 12th, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,30, Yugoslavia, <=50K
44, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, Dominican-Republic, <=50K
33, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
29, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, White, Male,0,1902,40, Taiwan, <=50K
24, Private, HS-grad, Never-married, Armed-Forces, Other-relative, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,65, Nicaragua, >50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, Canada, <=50K
25, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,35, Cuba, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Poland, >50K
39, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,8614,0,45, Columbia, >50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,1887,26, Yugoslavia, >50K
29, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, Japan, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,7298,0,54, Yugoslavia, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Ecuador, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,40, Japan, >50K
43, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Male,0,0,65, United-States, <=50K
41, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,37, China, <=50K
29, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,37, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, >50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,45, Germany, <=50K
58, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, White, Female,0,0,50, Canada, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Canada, >50K
48, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,1977,40, Yugoslavia, <=50K
62, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, Thailand, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
41, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, Guatemala, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
69, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,3105,0,72, El-Salvador, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, Nicaragua, >50K
63, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,67, Japan, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7687,0,50, Laos, >50K
28, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, France, <=50K
41, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,38, Mexico, <=50K
64, Private, 9th, Divorced, Other-service, Not-in-family, White, Male,0,0,35, Poland, >50K
29, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, Other, Male,0,0,45, England, <=50K
28, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,10, Hong, <=50K
54, Federal-gov, HS-grad, Separated, Farming-fishing, Husband, Asian-Pac-Islander, Male,2096,0,50, Nicaragua, >50K
20, Private, Assoc-voc, Separated, Other-service, Wife, White, Male,0,0,40, Japan, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Honduras, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,25, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Cuba, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,45, India, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
