Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.7
moral,0.8,0.75,0.44,0.07
verw,0.89,0.77,0.45,0.01
sparkont,0.99,0.98,0.94,0.55
beszeit,0.95,0.93,0.79,0.16
rate,0.91,0.91,0.71,0.29
famges,0.98,0.98,0.94,0.57
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.92,0.77,0.32
verm,1.0,1.0,1.0,0.85
weitkred,0.49,0.54,0.24,0.06
wohn,0.99,0.99,0.96,0.67
bishkred,0.66,0.58,0.32,0.01
beruf,0.68,0.67,0.35,0.02
pers,0.47,0.58,0.31,0.16
telef,0.97,0.98,0.95,0.72
gastarb,0.96,0.97,0.93,0.67
kredit,0.79,0.84,0.65,0.37
