Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.89,0.74,0.14
moral,0.78,0.74,0.42,0.07
verw,0.9,0.81,0.48,0.03
sparkont,0.72,0.71,0.33,0.08
beszeit,0.95,0.93,0.78,0.19
rate,0.89,0.89,0.68,0.26
famges,0.78,0.76,0.47,0.09
buerge,0.24,0.32,0.1,0.04
wohnzeit,0.93,0.92,0.77,0.34
verm,0.98,0.97,0.91,0.45
weitkred,0.48,0.54,0.24,0.06
wohn,0.65,0.7,0.39,0.15
bishkred,0.66,0.58,0.33,0.01
beruf,0.71,0.69,0.38,0.03
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.13,0.21,0.07,0.03
kredit,0.84,0.88,0.72,0.43
