Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.8,0.76,0.44,0.08
verw,0.89,0.77,0.44,0.02
sparkont,1.0,0.99,0.98,0.69
beszeit,0.94,0.93,0.77,0.2
rate,0.92,0.92,0.74,0.32
famges,0.99,0.99,0.97,0.64
buerge,0.31,0.4,0.13,0.05
wohnzeit,0.92,0.91,0.74,0.3
verm,1.0,1.0,0.99,0.84
weitkred,0.48,0.54,0.24,0.06
wohn,0.99,1.0,0.98,0.78
bishkred,0.67,0.61,0.34,0.02
beruf,0.72,0.7,0.39,0.04
pers,0.55,0.64,0.38,0.2
telef,0.95,0.96,0.9,0.63
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.72,0.43
