19, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Dominican-Republic, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,74, Ireland, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,4892,0,20, El-Salvador, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, >50K
49, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
32, Private, Assoc-voc, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Taiwan, <=50K
22, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,36, South, <=50K
64, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Ireland, >50K
25, Self-emp-inc, Bachelors, Never-married, Tech-support, Husband, White, Female,0,0,48, Nicaragua, >50K
29, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Canada, <=50K
40, Self-emp-not-inc, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,30, Cuba, <=50K
47, Private, Some-college, Divorced, Craft-repair, Husband, White, Female,3417,0,40, Portugal, >50K
47, Private, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, Vietnam, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, Yugoslavia, >50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, Japan, >50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
31, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
25, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, El-Salvador, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,54, Germany, <=50K
41, Private, HS-grad, Widowed, Adm-clerical, Husband, White, Female,0,0,45, Cambodia, <=50K
54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada, >50K
46, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
61, Private, Masters, Separated, Farming-fishing, Unmarried, White, Male,0,0,32, Thailand, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,45, Scotland, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, El-Salvador, <=50K
69, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,12, Guatemala, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,76, Guatemala, <=50K
40, State-gov, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,32, Ecuador, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,27, Dominican-Republic, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,48, Nicaragua, >50K
52, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Japan, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Laos, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,48, France, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, White, Male,0,0,54, Poland, >50K
43, Federal-gov, 9th, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,50, England, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, Hong, <=50K
28, Local-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
21, Self-emp-not-inc, 11th, Separated, Prof-specialty, Wife, White, Male,0,0,3, Japan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, Honduras, <=50K
41, Self-emp-inc, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,30, Cuba, <=50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, Ecuador, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, India, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, >50K
59, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,0,0,45, Japan, >50K
24, Private, Prof-school, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Taiwan, >50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,40, Trinadad&Tobago, <=50K
63, Private, 10th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,35, Ecuador, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,38, Canada, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, Taiwan, >50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Other, Female,0,0,40, Puerto-Rico, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, Jamaica, <=50K
27, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
48, Private, HS-grad, Divorced, Protective-serv, Husband, White, Male,0,0,30, France, <=50K
82, Self-emp-inc, 9th, Married-civ-spouse, Sales, Husband, White, Female,0,0,20, Germany, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Ireland, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Japan, >50K
