62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Japan, >50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,60, Germany, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, England, >50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
70, Private, 11th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,30, England, <=50K
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
58, Private, Assoc-acdm, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Ecuador, <=50K
49, Local-gov, Masters, Never-married, Exec-managerial, Husband, Black, Male,0,1956,40, United-States, <=50K
35, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,54, Poland, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, <=50K
27, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Taiwan, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Other-relative, Other, Female,0,0,60, Vietnam, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, Columbia, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,55, Yugoslavia, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
38, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,5320,0,27, Yugoslavia, <=50K
30, Federal-gov, Doctorate, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, El-Salvador, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,36, Nicaragua, <=50K
42, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
25, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, Columbia, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, England, >50K
65, Private, Bachelors, Divorced, Protective-serv, Not-in-family, Other, Male,0,0,45, Ecuador, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,5950,0,40, Guatemala, >50K
17, Private, 11th, Separated, Farming-fishing, Own-child, Black, Female,0,0,25, Canada, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Canada, >50K
54, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
35, Private, Prof-school, Never-married, Exec-managerial, Unmarried, Other, Male,7052,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Honduras, <=50K
39, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, Honduras, >50K
