47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Dominican-Republic, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,48, Ireland, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Male,3832,0,40, El-Salvador, <=50K
69, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,2195,8, United-States, >50K
25, Private, 11th, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,54, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,14, Dominican-Republic, <=50K
20, Local-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,20, Scotland, <=50K
66, Self-emp-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,24958,0,40, South, >50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
19, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, Nicaragua, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,60, Cambodia, >50K
22, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Poland, <=50K
40, Private, Bachelors, Divorced, Tech-support, Unmarried, Black, Female,0,0,45, Vietnam, <=50K
42, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Yugoslavia, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
25, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,30, Jamaica, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States, <=50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, China, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, El-Salvador, <=50K
29, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,9877,0,40, Dominican-Republic, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,2174,0,40, Germany, <=50K
30, Private, HS-grad, Separated, Craft-repair, Husband, Black, Female,0,1977,40, Cambodia, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
53, State-gov, Some-college, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Thailand, <=50K
31, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
17, Private, 9th, Never-married, Sales, Own-child, Black, Male,0,0,24, El-Salvador, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,65, Greece, >50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,2598,0,40, Guatemala, <=50K
19, State-gov, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
23, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Nicaragua, <=50K
30, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Japan, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,5, Japan, <=50K
29, Private, Some-college, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Male,5178,0,16, France, >50K
23, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,45, Mexico, <=50K
25, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,54, Poland, <=50K
34, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, England, >50K
61, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
50, Federal-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Mexico, <=50K
25, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, Black, Male,0,0,40, Japan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
46, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
56, Local-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
41, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, India, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, Nicaragua, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
27, Private, 11th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
