Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.78,0.74,0.41,0.08
verw,0.91,0.81,0.5,0.04
sparkont,0.71,0.71,0.33,0.07
beszeit,0.94,0.93,0.77,0.17
rate,0.91,0.91,0.71,0.3
famges,0.79,0.76,0.48,0.09
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.34
verm,0.97,0.97,0.89,0.41
weitkred,0.48,0.54,0.24,0.06
wohn,0.65,0.7,0.38,0.14
bishkred,0.66,0.57,0.33,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.53,0.63,0.36,0.19
telef,0.96,0.97,0.93,0.68
gastarb,0.15,0.24,0.08,0.04
kredit,0.86,0.89,0.75,0.45
