39, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, England, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,53, El-Salvador, >50K
21, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Male,0,0,35, Trinadad&Tobago, <=50K
50, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, El-Salvador, >50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Ecuador, >50K
68, Self-emp-not-inc, Assoc-acdm, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,11, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
39, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Scotland, >50K
22, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,27, Scotland, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,54, Cambodia, <=50K
44, Self-emp-not-inc, Masters, Divorced, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,26159,0,65, Dominican-Republic, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,54, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
66, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, <=50K
49, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,6, Jamaica, <=50K
20, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
45, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, >50K
44, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,60, Italy, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, Trinadad&Tobago, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, China, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
20, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Germany, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
51, State-gov, Some-college, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
38, Private, Prof-school, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,36, Taiwan, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,44, Puerto-Rico, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, Guatemala, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, White, Female,0,0,16, Nicaragua, <=50K
