28, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Ireland, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
45, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,24, El-Salvador, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,50, Ecuador, <=50K
27, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, Yugoslavia, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
32, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, South, <=50K
41, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, South, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,5054,0,50, Ireland, >50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,7687,0,70, Nicaragua, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Canada, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Poland, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,7298,0,50, Vietnam, <=50K
47, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, Yugoslavia, >50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Japan, <=50K
38, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,5088,0,60, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,45, Ecuador, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,40, Jamaica, <=50K
32, Private, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,42, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,1902,40, China, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,3103,0,40, England, <=50K
48, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Germany, <=50K
37, Private, HS-grad, Separated, Craft-repair, Husband, White, Female,0,0,54, Canada, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Canada, >50K
