Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.98,0.94,0.55
moral,0.78,0.75,0.42,0.09
verw,0.9,0.79,0.5,0.01
sparkont,0.96,0.96,0.83,0.41
beszeit,0.95,0.94,0.81,0.21
rate,0.92,0.92,0.74,0.3
famges,0.95,0.95,0.83,0.38
buerge,0.34,0.41,0.14,0.05
wohnzeit,0.92,0.91,0.74,0.29
verm,1.0,1.0,0.99,0.8
weitkred,0.53,0.57,0.27,0.06
wohn,0.8,0.83,0.57,0.23
bishkred,0.66,0.59,0.32,0.02
beruf,0.79,0.82,0.56,0.23
pers,0.6,0.69,0.43,0.23
telef,0.94,0.96,0.89,0.62
gastarb,0.26,0.36,0.15,0.07
kredit,0.88,0.91,0.79,0.49
